epoch,acc,loss,val_acc,val_loss
0,0.535531147986978,0.7562154436868335,0.5566406373400241,0.6883763584773988
1,0.5406593530278503,0.7179826465645698,0.5976562643190846,0.6783290799357928
2,0.5775335903241957,0.6847110529303987,0.6132812634750735,0.6699857200146653
3,0.5916972045896982,0.6836832550346342,0.6103515759314178,0.6622932014288381
4,0.6080586208492262,0.6698099256507934,0.6093750134750735,0.6543486292648595
5,0.6224664361085356,0.6543086817413023,0.6201172011351446,0.6487767249054741
6,0.6310134438004104,0.6479704878196321,0.6337890765571501,0.640021502476884
7,0.6390720525613198,0.6400808281878121,0.643554701397079,0.6335888834146317
8,0.6488400617289165,0.632585095889839,0.6601562639989424,0.6274533373652957
9,0.6744810869696667,0.6212720800377656,0.6562500138679752,0.6203431263566017
10,0.6788766914125763,0.6112132667403518,0.6728515761788003,0.6141697778948583
11,0.7001221121922226,0.5989160617774805,0.6728515761788003,0.6082419073500205
12,0.6969475093342009,0.5944439733312243,0.6748047006258275,0.6045788530318532
13,0.7072039198344152,0.587215991028936,0.6748047006258275,0.6016150215291418
14,0.7189255310756966,0.581771594009411,0.6738281383295543,0.5996960350021254
15,0.7274725395135391,0.5636390896470846,0.6796875131258275,0.597247813391732
16,0.7294261415872236,0.5590994620970899,0.6826172005967237,0.5936381536303088
17,0.7343101465076172,0.553878646239329,0.6914062629366526,0.5912817127828021
18,0.7379731496793738,0.5453657982222763,0.6904297004221007,0.5898218383081257
19,0.7433455549498909,0.5425671247881411,0.6914062628638931,0.5891527196508832
20,0.752625164313194,0.5312027510378386,0.6904297004948603,0.588514421338914
21,0.7540903652543987,0.5316226006245584,0.6923828254512046,0.5873404692683835
22,0.7567765681625722,0.5225602964323665,0.6914062629366526,0.5868975843332009
23,0.7584859700793893,0.5173764464983283,0.6953125129948603,0.5861422960442724
24,0.7601953715413481,0.5140323093176907,0.6982422001747182,0.5856842459470499
25,0.7636141749201241,0.5080970882623478,0.6972656376601662,0.5854209411918418
26,0.7672771783102126,0.5001110044991431,0.698242200029199,0.585033037190442
27,0.768253979192403,0.49853927652113894,0.6992187626165105,0.5862360850733239
28,0.7704517811136513,0.4956378228734992,0.7001953249127837,0.5857173098193016
29,0.7748473857930874,0.490026896544283,0.7001953249127837,0.5873844964371528
30,0.7643467750268396,0.4951570734236121,0.7011718875000952,0.5873983428173233
31,0.7724053836421944,0.48830879436889996,0.701171887354576,0.5876003160956316
32,0.7787545895765698,0.48605069733692174,0.7031250123836799,0.5876817137468606
33,0.7736263841718107,0.48224891919610846,0.7031250123109203,0.5878340583876707
34,0.7726495836717014,0.4814978677856762,0.701171887354576,0.5886825988127384
35,0.7787545894855982,0.48601045817937316,0.7001953250583028,0.5889075392333325
36,0.7772893880713408,0.48449406673692813,0.7011718875000952,0.5891688016272383
